timestamp,ticker,asset,flow_usd_m
2024-07-01,IBIT,BTC,0.0
2024-07-01,FBTC,BTC,65.0
2024-07-01,BITB,BTC,41.4
2024-07-01,ARKB,BTC,12.7
2024-07-01,BTCO,BTC,3.2
2024-07-01,EZBC,BTC,1.8
2024-07-01,BRRR,BTC,0.0
2024-07-01,HODL,BTC,5.4
2024-07-01,BTCW,BTC,0.0
2024-07-01,GBTC,BTC,0.0
2024-07-02,IBIT,BTC,14.1
2024-07-02,FBTC,BTC,5.4
2024-07-02,BITB,BTC,-6.8
2024-07-02,ARKB,BTC,2.5
2024-07-02,BTCO,BTC,0.0
2024-07-02,EZBC,BTC,0.0
2024-07-02,BRRR,BTC,0.0
2024-07-02,HODL,BTC,3.5
2024-07-02,BTCW,BTC,0.0
2024-07-02,GBTC,BTC,-32.4
2024-07-03,IBIT,BTC,0.0
2024-07-03,FBTC,BTC,6.5
2024-07-03,BITB,BTC,0.0
2024-07-03,ARKB,BTC,0.0
2024-07-03,BTCO,BTC,0.0
2024-07-03,EZBC,BTC,0.0
2024-07-03,BRRR,BTC,0.0
2024-07-03,HODL,BTC,0.0
2024-07-03,BTCW,BTC,0.0
2024-07-03,GBTC,BTC,-27.0
2024-07-05,IBIT,BTC,0.0
2024-07-05,FBTC,BTC,117.4
2024-07-05,BITB,BTC,30.2
2024-07-05,ARKB,BTC,11.3
2024-07-05,BTCO,BTC,0.0
2024-07-05,EZBC,BTC,0.0
2024-07-05,BRRR,BTC,0.0
2024-07-05,HODL,BTC,12.8
2024-07-05,BTCW,BTC,0.0
2024-07-05,GBTC,BTC,-28.6
2024-07-08,IBIT,BTC,187.2
2024-07-08,FBTC,BTC,61.5
2024-07-08,BITB,BTC,11.0
2024-07-08,ARKB,BTC,8.4
2024-07-08,BTCO,BTC,0.0
2024-07-08,EZBC,BTC,0.0
2024-07-08,BRRR,BTC,0.0
2024-07-08,HODL,BTC,1.6
2024-07-08,BTCW,BTC,0.0
2024-07-08,GBTC,BTC,25.1
2024-07-09,IBIT,BTC,121.0
2024-07-09,FBTC,BTC,91.0
2024-07-09,BITB,BTC,-4.7
2024-07-09,ARKB,BTC,43.3
2024-07-09,BTCO,BTC,0.0
2024-07-09,EZBC,BTC,0.0
2024-07-09,BRRR,BTC,0.0
2024-07-09,HODL,BTC,3.3
2024-07-09,BTCW,BTC,0.0
2024-07-09,GBTC,BTC,-37.5
2024-07-10,IBIT,BTC,22.2
2024-07-10,FBTC,BTC,57.8
2024-07-10,BITB,BTC,4.7
2024-07-10,ARKB,BTC,5.7
2024-07-10,BTCO,BTC,9.5
2024-07-10,EZBC,BTC,31.7
2024-07-10,BRRR,BTC,20.7
2024-07-10,HODL,BTC,3.3
2024-07-10,BTCW,BTC,0.0
2024-07-10,GBTC,BTC,-8.2
2024-07-11,IBIT,BTC,72.1
2024-07-11,FBTC,BTC,32.7
2024-07-11,BITB,BTC,7.5
2024-07-11,ARKB,BTC,4.3
2024-07-11,BTCO,BTC,0.0
2024-07-11,EZBC,BTC,0.0
2024-07-11,BRRR,BTC,0.0
2024-07-11,HODL,BTC,0.0
2024-07-11,BTCW,BTC,0.0
2024-07-11,GBTC,BTC,-37.7
2024-07-12,IBIT,BTC,120.0
2024-07-12,FBTC,BTC,115.1
2024-07-12,BITB,BTC,28.4
2024-07-12,ARKB,BTC,13.0
2024-07-12,BTCO,BTC,4.0
2024-07-12,EZBC,BTC,0.0
2024-07-12,BRRR,BTC,0.0
2024-07-12,HODL,BTC,6.6
2024-07-12,BTCW,BTC,0.0
2024-07-12,GBTC,BTC,23.0
2024-07-15,IBIT,BTC,117.2
2024-07-15,FBTC,BTC,36.1
2024-07-15,BITB,BTC,15.2
2024-07-15,ARKB,BTC,117.2
2024-07-15,BTCO,BTC,7.9
2024-07-15,EZBC,BTC,3.7
2024-07-15,BRRR,BTC,0.0
2024-07-15,HODL,BTC,3.6
2024-07-15,BTCW,BTC,0.0
2024-07-15,GBTC,BTC,0.0
2024-07-16,IBIT,BTC,260.2
2024-07-16,FBTC,BTC,61.1
2024-07-16,BITB,BTC,17.3
2024-07-16,ARKB,BTC,29.8
2024-07-16,BTCO,BTC,20.5
2024-07-16,EZBC,BTC,9.4
2024-07-16,BRRR,BTC,2.2
2024-07-16,HODL,BTC,22.0
2024-07-16,BTCW,BTC,0.0
