timestamp,ticker,asset,flow_usd_m
2025-03-05,ETHW,ETH,0.0
2025-03-05,TETH,ETH,0.0
2025-03-05,ETHV,ETH,0.0
2025-03-05,QETH,ETH,0.0
2025-03-05,EZET,ETH,0.0
2025-03-05,ETHE,ETH,-63.3
2025-03-05,ETH,ETH,0.0
2025-03-06,ETHA,ETH,-10.0
2025-03-06,FETH,ETH,0.0
2025-03-06,ETHW,ETH,0.0
2025-03-06,TETH,ETH,0.0
2025-03-06,ETHV,ETH,0.0
2025-03-06,QETH,ETH,0.0
2025-03-06,EZET,ETH,0.0
2025-03-06,ETHE,ETH,0.0
2025-03-06,ETH,ETH,0.0
2025-03-07,ETHA,ETH,-11.2
2025-03-07,FETH,ETH,-11.9
2025-03-07,ETHW,ETH,0.0
2025-03-07,TETH,ETH,0.0
2025-03-07,ETHV,ETH,0.0
2025-03-07,QETH,ETH,0.0
2025-03-07,EZET,ETH,0.0
2025-03-07,ETHE,ETH,0.0
2025-03-07,ETH,ETH,0.0
2025-03-10,ETHA,ETH,0.0
2025-03-10,FETH,ETH,-23.7
2025-03-10,ETHW,ETH,-1.6
2025-03-10,TETH,ETH,-3.5
2025-03-10,ETHV,ETH,0.0
2025-03-10,QETH,ETH,0.0
2025-03-10,EZET,ETH,0.0
2025-03-10,ETHE,ETH,-4.8
2025-03-10,ETH,ETH,-3.9
2025-03-11,ETHA,ETH,-11.8
2025-03-11,FETH,ETH,-9.8
2025-03-11,ETHW,ETH,0.0
2025-03-11,TETH,ETH,0.0
2025-03-11,ETHV,ETH,0.0
2025-03-11,QETH,ETH,0.0
2025-03-11,EZET,ETH,0.0
2025-03-11,ETHE,ETH,0.0
2025-03-11,ETH,ETH,0.0
2025-03-12,ETHA,ETH,0.0
2025-03-12,FETH,ETH,-3.7
2025-03-12,ETHW,ETH,0.0
2025-03-12,TETH,ETH,-1.7
2025-03-12,ETHV,ETH,0.0
2025-03-12,QETH,ETH,0.0
2025-03-12,EZET,ETH,-1.4
2025-03-12,ETHE,ETH,0.0
2025-03-12,ETH,ETH,-3.5
2025-03-13,ETHA,ETH,-15.1
2025-03-13,FETH,ETH,-12.5
2025-03-13,ETHW,ETH,0.0
2025-03-13,TETH,ETH,-0.5
2025-03-13,ETHV,ETH,1.4
2025-03-13,QETH,ETH,0.0
2025-03-13,EZET,ETH,0.0
2025-03-13,ETHE,ETH,-41.7
2025-03-13,ETH,ETH,-5.2
2025-03-14,ETHA,ETH,-36.4
2025-03-14,FETH,ETH,-11.6
2025-03-14,ETHW,ETH,0.0
2025-03-14,TETH,ETH,0.0
2025-03-14,ETHV,ETH,0.0
2025-03-14,QETH,ETH,1.1
2025-03-14,EZET,ETH,0.0
2025-03-14,ETHE,ETH,0.0
2025-03-14,ETH,ETH,0.0
2025-03-17,ETHA,ETH,0.0
2025-03-17,FETH,ETH,0.0
2025-03-17,ETHW,ETH,0.0
2025-03-17,TETH,ETH,0.0
2025-03-17,ETHV,ETH,0.0
2025-03-17,QETH,ETH,0.0
2025-03-17,EZET,ETH,0.0
2025-03-17,ETHE,ETH,-7.3
2025-03-17,ETH,ETH,0.0
2025-03-18,ETHA,ETH,-40.2
2025-03-18,FETH,ETH,-3.3
2025-03-18,ETHW,ETH,0.0
