Symbol,Market Cap (M),Sector,Use Case,Sub Use Case,Tech Stack,Sub Tech Stack,Tertiary Tech Stack,Ecosystem,Region,Custodies,CoinGecko ID,CoinGecko Symbol,CoinGecko Name,CoinMarketCap ID,CoinMarketCap Symbol,CoinMarketCap Name,CoinMarketCap Slug,CoinMetrics ID,CoinMetrics Name
SAGA,11479751,Blockchain Utilities & Tools,Developer Tools,,Blockchain Network,Layer 1,PoS,,,,saga-2,saga,Saga,30372,SAGA,Saga,saga,saga,Saga
CHILLGUY,11479609,Meme,,,Application,,,Solana,,Gemini Custody,chill-guy,chillguy,Just a chill guy,34125,CHILLGUY,Just a chill guy,just-a-chill-guy,chillguy,Just a chill guy
BETA,11345738,Decentralized Finance,Lending & Borrowing,Crypto Based Lending Platforms,Application,,,,,Coinbase Custody,beta-finance,beta,Beta Finance,11307,BETA,Beta Finance,beta-finance,beta,Beta Finance
DODO,11272119,Decentralized Finance,Trading Platforms,Spot / Swaps,Application,,,,,Anchorage Digital; BitGo Custody; Coinbase Custody,dodo,dodo,DODO,7224,DODO,DODO,dodo,dodo,DODO
FAI,11205482,Blockchain Utilities & Tools,AI Agents,AI Agent,Application,,,Base,,,freysa-ai,fai,Freysa AI,34330,FAI,Freysa,freysa-ai,fai,Freysa AI
LMWR,11047578,"Media, Arts & Entertainment",Streaming Platforms,,Application,,,,,BitGo Custody,limewire-token,lmwr,LimeWire,24476,LMWR,LimeWire,limewire,lmwr,LimeWire
ANYONE,11019245,Decentralized Physical Infrastructure,Virtual Private Network,,Blockchain Network,Specialized Utility Layer,,,,,airtor-protocol,anyone,ANyONe Protocol,32037,ANYONE,ANyONe Protocol,anyone-protocol,anyone,ANyONe Protocol
GFI,10989036,Decentralized Finance,Lending & Borrowing,Real World Asset lending platforms,Application,,,,,Gemini Custody; Coinbase Custody; BitGo Custody,goldfinch,gfi,Goldfinch,13967,GFI,Goldfinch,goldfinch-protocol,gfi,Goldfinch
MLN,10980073,Decentralized Finance,Asset Origination and Issuance,Security Token Platforms,Application,,,,,Coinbase Custody; BitGo Custody,melon,mln,Enzyme,1552,MLN,Enzyme,enzyme,mln,Enzyme
SD,10586155,Decentralized Finance,Managed Yield Services,Liquid Staking,Application,,,,,BitGo Custody,stader,sd,Stader,12623,SD,Stader,stader,sd,Stader
